repeat,configuration,instance,lower_bound,upper_bound,instance_wall_seconds,root_ascent_seconds,root_potential_iterations
1,polyak-smoothed-dynamic64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000103834,5e-06,1.0
1,polyak-smoothed-dynamic128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,9.4292e-05,4.958e-06,1.0
1,helsgaun16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000100333,5.333e-06,1.0
1,helsgaun32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000102584,5.167e-06,1.0
1,helsgaun64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,9.4417e-05,5e-06,1.0
1,hybrid-reverse16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.000117208,7.417e-06,2.0
1,hybrid-reverse32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,0.00010375,6.625e-06,2.0
1,hybrid-reverse64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998899,3323.0,9.9292e-05,6.75e-06,2.0
1,local-full,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3322.999999998799,3323.0,0.000133209,4.6708e-05,28.0
1,replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.027070792,5.667e-06,0.0
1,polyak8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.029710917,0.002628292,8.0
1,polyak16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.032597166,0.005427041,16.0
1,polyak32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.037245958,0.0100465,32.0
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.047289959,0.020132584,64.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.696006520507,6110.0,0.057159959,0.030073792,100.0
1,polyak-smoothed32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.037474542,0.0104195,32.0
1,polyak-smoothed64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.047422042,0.02034425,64.0
1,polyak-smoothed128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.829193609094,6110.0,0.057095041,0.029894375,100.0
1,polyak-smoothed-dynamic32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.037665208,0.010535125,32.0
1,polyak-smoothed-dynamic64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.047523334,0.020359375,64.0
1,polyak-smoothed-dynamic128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.794369534449,6110.0,0.056851875,0.0297065,100.0
1,helsgaun16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.032117333,0.005137584,16.0
